eli,Precipitacion,Humedad,'Direccion del Viento','Velocidad del Viento',Temperatura_
1793,0,43,140,40,6.0
27530,0,79,16,10,3.0
2723,0,28,312,9,4.0
13686,0,57,4,17,3.0
36181,0,66,348,10,4.0
35619,2,86,62,9,2.0
26392,0,69,138,39,5.0
11254,0,1,232,7,3.0
18338,0,1,354,10,4.0
5921,0,45,143,35,5.0
13469,0,48,38,14,3.0
20214,0,61,23,18,4.0
27422,0,83,185,26,5.0
31491,0,44,338,5,4.0
27342,0,71,321,7,4.0
1954,0,54,21,22,4.0
31205,0,59,341,13,3.0
9488,0,1,110,6,3.0
1694,0,42,184,8,7.0
11433,2,92,224,8,4.0
28890,0,46,183,32,6.0
5910,0,51,19,18,2.0
10199,16,1,203,11,3.0
23049,0,57,321,28,4.0
33855,0,78,12,10,3.0
37623,0,35,118,8,4.0
23026,0,45,37,14,3.0
29821,0,20,271,50,8.0
7573,14,1,147,6,4.0
2565,0,10,6,31,4.0
16666,0,56,302,31,4.0
11675,0,92,133,6,4.0
8611,0,36,115,49,6.0
24307,0,90,128,18,4.0
22608,6,1,271,7,3.0
28595,0,5,276,6,6.0
19030,7,1,309,10,4.0
41028,0,53,280,9,5.0
18239,0,92,79,3,4.0
37546,0,47,53,10,4.0
33313,0,91,187,24,5.0
17986,3,1,130,18,3.0
23600,0,80,342,7,3.0
15625,0,90,95,5,4.0
21378,0,44,151,35,6.0
36094,0,88,189,16,5.0
22946,0,93,17,9,3.0
29454,0,24,357,24,3.0
25647,0,95,181,31,3.0
28927,0,36,18,12,3.0
27058,0,75,42,10,4.0
19171,0,71,194,8,5.0
23362,0,91,347,16,3.0
40092,0,53,38,14,3.0
37315,0,43,133,50,7.0
5020,0,27,110,75,6.0
29544,0,32,15,15,3.0
4755,0,64,144,15,6.0
38328,0,24,184,32,5.0
11674,0,92,29,11,4.0
9988,0,1,65,9,2.0
29404,0,42,31,19,3.0
6672,0,82,149,40,5.0
6655,0,86,115,37,4.0
20891,0,35,122,48,5.0
25946,0,84,10,11,4.0
31541,0,61,36,12,3.0
41048,0,89,336,14,3.0
