fecha,precio,volumen
25/11/19,1.94,106
26/11/19,1.99,416
27/11/19,1.9,265
28/11/19,2.13,286
29/11/19,1.94,255
30/11/19,1.76,330
01/12/19,1.85,222
02/12/19,1.94,131
03/12/19,1.94,349
04/12/19,1.76,263
05/12/19,1.94,289
06/12/19,1.99,376
07/12/19,1.94,362
08/12/19,1.67,280
09/12/19,1.39,106
10/12/19,1.57,412
11/12/19,1.34,261
12/12/19,1.3,285
13/12/19,1.11,288
14/12/19,1.11,310
15/12/19,1.18,234
16/12/19,1.25,101
17/12/19,1.32,261
18/12/19,1.67,213
19/12/19,1.68,328
20/12/19,1.67,304
21/12/19,1.71,290
22/12/19,1.62,240
23/12/19,1.53,174
24/12/19,2.11,264
25/12/19,2.13,33
26/12/19,1.76,155
27/12/19,1.97,329
28/12/19,1.94,372
29/12/19,1.88,288
30/12/19,1.81,337
31/12/19,1.74,387
01/01/20,1.76,31
02/01/20,1.74,99
03/01/20,1.57,332
04/01/20,1.53,332
05/01/20,1.64,278
06/01/20,1.76,154
07/01/20,1.81,404
08/01/20,1.71,322
09/01/20,1.57,278
10/01/20,1.53,375
11/01/20,1.57,362
12/01/20,1.48,259
13/01/20,1.39,84
14/01/20,1.39,297
15/01/20,1.34,279
16/01/20,1.25,277
17/01/20,1.2,321
18/01/20,1.2,250
19/01/20,1.23,206
20/01/20,1.25,70
21/01/20,1.57,409
22/01/20,1.53,332
23/01/20,1.53,258
24/01/20,1.57,328
25/01/20,1.62,357
26/01/20,1.57,309
27/01/20,1.53,41
28/01/20,1.44,423
29/01/20,1.34,313
30/01/20,1.44,359
31/01/20,1.53,391
01/02/20,1.3,364
02/02/20,1.53,278
03/02/20,1.76,66
04/02/20,1.71,373
05/02/20,1.9,203
06/02/20,1.87,286
07/02/20,2.16,287
08/02/20,1.94,249
09/02/20,2.15,179
10/02/20,2.36,181
11/02/20,1.79,499
12/02/20,1.9,165
13/02/20,1.71,301
14/02/20,2.04,311
15/02/20,1.99,345
16/02/20,1.93,261
17/02/20,1.86,125
18/02/20,2.04,372
19/02/20,1.9,301
20/02/20,1.53,365
21/02/20,1.48,425
22/02/20,1.53,403
23/02/20,1.5,298
24/02/20,1.48,162
25/02/20,1.53,419
26/02/20,1.71,244
27/02/20,1.71,247
28/02/20,1.53,243
29/02/20,1.48,254
01/03/20,1.85,217
02/03/20,2.22,171
03/03/20,2.41,366
04/03/20,2.08,244
05/03/20,2.36,247
06/03/20,2.08,396
07/03/20,2.22,345
