DEPARTAMENTO,PROVINICA,DISTRITO,Precio Promedio,Volumen Promedio,Temperatura,Humedad,Precipitación,Cultivo
5,28,591,1.33,2925.0,8.52,63.67,0.1,11
5,28,1308,1.33,2925.0,8.52,63.67,0.1,11
5,128,884,2.41,151.0,8.52,63.67,0.1,7
7,4,196,1.39,3806.0,22.46,85.88,454.83,19
7,63,722,9.54,3110.0,22.46,85.88,454.83,1
9,78,900,1.65,1423.0,12.25,76.89,3.1,8
9,78,900,0.6,4525.0,12.25,76.89,3.1,13
9,170,203,1.23,1684.0,12.25,76.89,3.1,14
9,170,825,1.23,1684.0,12.25,76.89,3.1,14
10,127,877,2.83,7219.0,0.0,0.0,0.0,16
12,31,679,0.93,4777.0,11.97,80.8,21.5,5
12,84,492,1.23,1684.0,11.97,80.8,21.5,14
12,84,1157,0.53,34789.0,11.97,80.8,21.5,12
12,85,826,1.39,3806.0,11.97,80.8,21.5,19
12,119,777,1.23,1684.0,11.97,80.8,21.5,14
12,171,91,9.54,3110.0,9.88,65.79,58.28,1
12,171,168,1.65,1423.0,11.97,80.8,21.5,8
12,171,272,0.53,34789.0,11.97,80.8,21.5,12
12,171,745,1.65,1423.0,11.97,80.8,21.5,8
18,149,30,2.27,24719.3,9.82,63.89,59.4,2
21,164,596,1.2,4245.0,25.19,85.21,1.1,17
1,9,658,1.65,1423.0,9.22,76.47,34.05,8
1,9,658,1.43,1741.0,9.22,76.47,34.05,10
1,9,15,3.3,2024.0,9.22,76.47,34.05,3
1,21,157,0.6,4525.0,9.22,76.47,34.05,13
1,21,1099,1.33,2925.0,9.22,76.47,34.05,11
1,58,351,1.65,1423.0,9.22,76.47,34.05,8
1,124,473,0.6,4525.0,9.22,76.47,34.05,13
1,124,1142,3.81,3579.0,5.05,68.02,14.53,4
1,132,981,2.41,151.0,9.22,76.47,34.05,7
2,5,1312,1.23,1684.0,22.93,92.09,0.0,14
2,15,216,2.41,151.0,22.93,92.09,0.0,7
2,47,313,1.33,2925.0,22.93,92.09,0.0,11
2,47,313,1.23,1684.0,22.93,92.09,0.0,14
2,47,989,0.6,4525.0,22.93,92.09,0.0,13
2,70,377,1.65,1423.0,22.93,92.09,0.0,8
2,70,740,1.65,1423.0,22.93,92.09,0.0,8
2,70,1142,1.23,1684.0,5.05,68.02,14.53,14
3,34,123,0.6,4525.0,19.93,83.2,1.83,13
3,40,268,0.53,34789.0,19.93,83.2,1.83,12
3,40,346,0.53,34789.0,19.93,83.2,1.83,12
3,40,639,0.6,4525.0,19.93,83.2,1.83,13
3,40,685,0.6,4525.0,19.93,83.2,1.83,13
3,40,1366,0.53,34789.0,19.93,83.2,1.83,12
5,7,257,3.3,2024.0,8.52,63.67,0.1,3
5,29,1194,3.81,3579.0,8.52,63.67,0.1,4
5,94,1126,2.41,151.0,8.52,63.67,0.1,7
5,94,796,0.93,4777.0,8.52,63.67,0.1,5
8,46,1110,1.23,1684.0,15.95,85.93,18.69,14
9,78,172,1.33,2925.0,12.25,76.89,3.1,11
9,78,172,0.53,34789.0,12.25,76.89,3.1,12
9,78,242,1.33,2925.0,12.25,76.89,3.1,11
9,78,275,3.3,2024.0,12.25,76.89,3.1,3
9,52,219,1.65,1423.0,12.25,76.89,3.1,8
9,52,709,3.3,2024.0,12.25,76.89,3.1,3
9,160,495,2.41,151.0,12.25,76.89,3.1,7
9,170,203,0.53,34789.0,12.25,76.89,3.1,12
9,50,276,9.54,3110.0,12.25,76.89,3.1,1
9,50,276,1.65,1423.0,12.25,76.89,3.1,8
9,50,1074,9.54,3110.0,12.25,76.89,3.1,1
10,148,374,9.54,3110.0,13.17,70.45,11.9,1
12,84,1044,0.53,34789.0,11.97,80.8,21.5,12
12,119,48,1.23,1684.0,11.97,80.8,21.5,14
12,119,311,1.33,2925.0,11.97,80.8,21.5,11
12,171,272,1.23,1684.0,11.97,80.8,21.5,14
15,68,664,1.23,1684.0,14.89,53.47,30.16,14
18,98,629,1.33,2925.0,9.82,63.89,59.4,11
1,81,542,1.43,1741.0,9.22,76.47,34.05,10
1,81,557,1.43,1741.0,9.22,76.47,34.05,10
1,9,658,1.23,1684.0,9.22,76.47,34.05,14
1,9,15,1.43,1741.0,9.22,76.47,34.05,10
1,9,15,1.23,1684.0,9.22,76.47,34.05,14
1,9,207,3.3,2024.0,9.22,76.47,34.05,3
1,9,262,1.43,1741.0,9.22,76.47,34.05,10
1,9,262,1.23,1684.0,9.22,76.47,34.05,14
1,9,746,1.65,1423.0,9.22,76.47,34.05,8
1,9,746,1.23,1684.0,9.22,76.47,34.05,14
1,9,1078,1.43,1741.0,9.22,76.47,34.05,10
1,9,1078,1.23,1684.0,9.22,76.47,34.05,14
1,21,264,1.43,1741.0,9.22,76.47,34.05,10
1,21,264,1.33,2925.0,9.22,76.47,34.05,11
1,21,1,0.53,34789.0,9.22,76.47,34.05,12
1,21,157,0.53,34789.0,9.22,76.47,34.05,12
1,21,499,1.23,1684.0,9.22,76.47,34.05,14
1,21,835,1.33,2925.0,9.22,76.47,34.05,11
1,21,1270,1.33,2925.0,9.22,76.47,34.05,11
1,36,1085,1.65,1423.0,9.22,76.47,34.05,8
1,36,1085,1.43,1741.0,9.22,76.47,34.05,10
1,36,1375,1.43,1741.0,9.22,76.47,34.05,10
1,58,351,1.43,1741.0,9.22,76.47,34.05,10
1,58,98,1.43,1741.0,9.22,76.47,34.05,10
1,82,987,1.43,1741.0,9.22,76.47,34.05,10
1,86,942,1.33,2925.0,9.22,76.47,34.05,11
1,107,411,3.3,2024.0,9.22,76.47,34.05,3
1,116,337,1.23,1684.0,9.22,76.47,34.05,14
1,132,925,2.41,151.0,9.22,76.47,34.05,7
1,132,512,2.41,151.0,9.22,76.47,34.05,7
1,132,872,2.41,151.0,9.22,76.47,34.05,7
1,132,981,1.65,1423.0,9.22,76.47,34.05,8
1,137,995,0.53,34789.0,9.22,76.47,34.05,12
1,137,1268,1.65,1423.0,9.22,76.47,34.05,8
1,154,261,1.43,1741.0,9.22,76.47,34.05,10
1,154,509,1.43,1741.0,9.22,76.47,34.05,10
1,154,970,1.43,1741.0,9.22,76.47,34.05,10
1,154,986,1.43,1741.0,9.22,76.47,34.05,10
1,154,1067,1.43,1741.0,18.16,64.61,0.0,10
1,172,1189,1.33,2925.0,9.22,76.47,34.05,11
2,0,210,0.53,34789.0,22.93,92.09,0.0,12
2,0,301,1.33,2925.0,22.93,92.09,0.0,11
2,0,301,0.53,34789.0,22.93,92.09,0.0,12
2,0,301,1.23,1684.0,22.93,92.09,0.0,14
2,0,372,1.23,1684.0,22.93,92.09,0.0,14
2,0,628,2.41,151.0,22.93,92.09,0.0,7
2,0,628,1.39,3806.0,22.93,92.09,0.0,19
2,0,1242,3.81,3579.0,22.93,92.09,0.0,4
2,5,50,1.23,1684.0,22.93,92.09,0.0,14
2,5,240,0.6,4525.0,22.93,92.09,0.0,13
2,5,240,1.23,1684.0,22.93,92.09,0.0,14
